Phase1_pct,RS+RFD,Corr-RR
5,0.24382596806480591,2.3914890564129685
10,1.3140737196230998,0.9610668796482058
15,1.0892263341487511,1.4380574154390433
20,0.19662900100303726,1.4909078900904298
25,0.9126582436978822,2.429679629611933
30,3.3069451882164804,2.2159323912275535
35,2.3472921059128296,3.5318125666535476
40,1.6023568800560481,1.848916115479983
45,2.143675508792934,4.6237392686202785
50,2.658936975625669,6.411510116059373
